                    X              UR1-Node2              UR1-Node3              UR2-Node2              UR2-Node3              UR3-Node2              UR3-Node3                   U1-Node2               U1-Node3               U2-Node2               U2-Node3               U3-Node2               U3-Node3
                0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.                 0.         
              500.E-06             3.17807E-03        8.6247E-03        32.9147E-09       -91.64E-09          -6.37051E-06      -20.4196E-06        -1.09537E-09       -5.67481E-09     -135.1E-09           -7.85067E-06     -384.628E-12        327.544E-12  
                1.E-03             9.1805E-03        15.8399E-03       182.497E-09       -766.432E-09        -25.7365E-06       -80.045E-06        -12.8835E-09       -21.2788E-09        -1.02866E-06      -31.0162E-06        -4.58319E-09        3.78867E-09
                1.5E-03            6.50728E-03        9.59533E-03      115.774E-09         -1.09532E-06      -58.7091E-06      -169.662E-06        -12.9897E-09       -20.1811E-09        -4.01491E-06      -68.4228E-06       -18.935E-09         15.4425E-09 
                2.E-03            -1.33329E-03        3.00442E-03        6.40307E-09     -467.807E-09       -106.213E-06       -279.133E-06          6.3704E-09        -6.26088E-09      -10.9204E-06      -118.539E-06        -43.2037E-09        34.6457E-09 
                2.5E-03            2.18873E-03        4.56545E-03       -9.67634E-09       -1.27E-06        -168.821E-06       -396.162E-06         -2.22624E-09      -27.5512E-09       -23.5732E-06      -179.693E-06        -71.1156E-09        55.6553E-09 
                3.E-03             8.9031E-03        14.0379E-03       307.119E-09         -4.64214E-06     -247.069E-06       -512.092E-06        -17.8588E-09       -65.8024E-09       -43.304E-06       -250.405E-06       -109.531E-09         85.7778E-09 
                3.5E-03            6.69171E-03       14.3606E-03       303.497E-09         -5.63127E-06     -340.371E-06       -622.236E-06        -10.7441E-09       -87.3676E-09       -70.5648E-06      -329.63E-06        -174.804E-09        142.713E-09  
                4.E-03             1.37781E-03        2.35491E-03     -715.088E-09         -1.91282E-06     -447.998E-06       -727.349E-06        -10.9479E-09      -108.216E-09       -104.765E-06       -416.876E-06       -260.514E-09        221.541E-09  
                4.5E-03          152.193E-06          3.0469E-03      -456.185E-09         -2.51204E-06     -567.868E-06       -833.814E-06        -19.9928E-09      -155.255E-09       -144.363E-06       -512.152E-06       -340.654E-09        295.828E-09  
                5.E-03             6.51539E-03       13.3635E-03      -957.114E-09         -8.63211E-06     -698.124E-06       -950.012E-06        -40.2251E-09      -232.187E-09       -187.199E-06       -615.762E-06       -401.046E-09        356.779E-09  
                5.5E-03            9.69599E-03       13.7123E-03        -2.48548E-06      -10.2546E-06      -836.156E-06         -1.08652E-03      -71.0956E-09      -320.017E-09       -230.967E-06       -728.009E-06       -433.197E-09        414.845E-09  
                6.E-03             1.75117E-03        6.58748E-03       -1.31283E-06       -5.69304E-06     -979.97E-06          -1.24972E-03      -76.423E-09       -411.462E-09       -273.736E-06       -848.872E-06       -429.54E-09         470.012E-09  
                6.5E-03         -806.887E-06          1.74072E-03       -1.17407E-06       -2.13813E-06       -1.12773E-03       -1.44339E-03      -91.0415E-09      -529.661E-09       -314.353E-06       -977.755E-06       -396.598E-09        507.583E-09  
                7.E-03             5.97977E-03        8.83577E-03       -3.04946E-06       -9.32217E-06       -1.27811E-03       -1.66368E-03     -135.159E-09       -714.137E-09       -352.65E-06          -1.11337E-03     -335.701E-09        521.147E-09  
                7.5E-03            8.54296E-03       16.9642E-03        -3.15118E-06      -18.3053E-06        -1.43072E-03       -1.90327E-03     -162.092E-09       -922.733E-09       -389.399E-06         -1.25377E-03     -243.279E-09        533.801E-09  
                8.E-03             4.65818E-03        8.08093E-03       -3.50019E-06       -9.58908E-06       -1.58485E-03       -2.14964E-03     -184.166E-09         -1.12463E-06     -426.014E-06         -1.39658E-03     -129.649E-09        570.148E-09  
                8.5E-03         -474.286E-06        753.382E-06         -2.93745E-06      416.276E-09         -1.74085E-03       -2.39018E-03     -213.854E-09         -1.36984E-06     -464.098E-06         -1.53925E-03       -4.75338E-09      613.31E-09   
                9.E-03             2.36246E-03        8.24496E-03       -2.60389E-06       -9.76317E-06       -1.89758E-03       -2.61339E-03     -255.481E-09         -1.63993E-06     -504.932E-06         -1.67945E-03      119.571E-09        645.072E-09  
                9.5E-03            9.90589E-03       14.4294E-03        -6.36015E-06      -21.8748E-06        -2.05497E-03       -2.81229E-03     -315.676E-09         -1.92023E-06     -549.047E-06         -1.81534E-03      231.922E-09        698.835E-09  
               10.E-03             6.16913E-03       11.531E-03         -5.51327E-06      -16.9191E-06        -2.21082E-03       -2.98562E-03     -366.75E-09          -2.19534E-06     -595.992E-06         -1.94573E-03      333.521E-09        814.779E-09  
               10.5E-03         -840.565E-06          2.97948E-03       -3.40935E-06       -1.46127E-06       -2.36384E-03       -3.13702E-03     -409.006E-09         -2.44047E-06     -644.352E-06         -2.07008E-03      415.722E-09        977.237E-09  
