
                  X               UR1           UR2           UR3           U1           U2           U3    

                0.                 0.                 0.                 0.                 0.                 0.                 0.         
              100.E-06          -957.601E-18       -259.457E-15          9.5885E-09      -800.E-12           799.998E-12        799.996E-12  
              200.E-06            -7.66074E-15       -2.07563E-12       38.354E-09         -3.2E-09            3.19999E-09        3.19997E-09
              300.E-06           -31.6002E-15        -8.5618E-12        86.2965E-09        -7.19998E-09        7.19995E-09        7.19987E-09
              400.E-06           -91.9264E-15       -24.9064E-12       153.416E-09        -12.8E-09           12.7998E-09        12.7996E-09 
              500.E-06          -215.448E-15        -58.3724E-12       239.712E-09        -19.9999E-09        19.9996E-09        19.9991E-09 
              600.E-06          -436.632E-15       -118.296E-12        345.186E-09        -28.7998E-09        28.7993E-09        28.7982E-09 
              700.E-06          -797.598E-15       -216.088E-12        469.836E-09        -39.1996E-09        39.1987E-09        39.1967E-09 
              750.E-06            -1.04396E-12     -282.83E-12         539.353E-09        -44.9994E-09        44.9983E-09        44.9956E-09 
              850.E-06            -1.71008E-12     -463.282E-12        692.769E-09        -57.7991E-09        57.7971E-09        57.7929E-09 
              950.E-06            -2.65475E-12     -719.184E-12        865.362E-09        -72.1986E-09        72.1956E-09        72.1889E-09 
                1.05E-03          -3.94686E-12       -1.06919E-09        1.05713E-06      -88.1979E-09        88.1934E-09        88.1835E-09 
                1.15E-03          -5.66295E-12       -1.53402E-09        1.26808E-06     -105.797E-09        105.791E-09        105.776E-09  
                1.25E-03          -7.88718E-12       -2.13644E-09        1.4982E-06      -124.996E-09        124.987E-09        124.967E-09  
                1.35E-03         -10.7113E-12        -2.90131E-09        1.7475E-06      -145.794E-09        145.782E-09        145.755E-09  
                1.45E-03         -14.2348E-12        -3.85552E-09        2.01598E-06     -168.192E-09        168.176E-09        168.14E-09   
                1.5E-03          -16.2884E-12        -4.41162E-09        2.15741E-06     -179.991E-09        179.973E-09        179.932E-09  
                1.6E-03          -21.0638E-12        -5.7047E-09         2.45465E-06     -204.789E-09        204.765E-09        204.712E-09  
                1.7E-03          -26.8203E-12        -7.26335E-09        2.77107E-06     -231.185E-09        231.155E-09        231.088E-09  
                1.8E-03          -33.6841E-12        -9.12164E-09        3.10667E-06     -259.182E-09        259.144E-09        259.059E-09  
                1.9E-03          -41.7888E-12       -11.3157E-09         3.46144E-06     -288.777E-09        288.73E-09         288.625E-09  
                2.E-03           -51.2757E-12       -13.8836E-09         3.83539E-06     -319.972E-09        319.914E-09        319.786E-09  
                2.1E-03          -62.2934E-12       -16.8657E-09         4.22852E-06     -352.766E-09        352.696E-09        352.54E-09   
                2.2E-03          -74.9985E-12       -20.3041E-09         4.64083E-06     -387.159E-09        387.075E-09        386.886E-09  
                2.25E-03         -82.0293E-12       -22.2067E-09         4.85417E-06     -404.956E-09        404.863E-09        404.657E-09  
                2.35E-03         -97.5749E-12       -26.4131E-09         5.29524E-06     -441.747E-09        441.637E-09        441.392E-09  
                2.45E-03        -115.232E-12        -31.1902E-09         5.75548E-06     -480.138E-09        480.008E-09        479.718E-09  
                2.55E-03        -135.183E-12        -36.5873E-09         6.23491E-06     -520.127E-09        519.974E-09        519.635E-09  
                2.65E-03        -157.618E-12        -42.6557E-09         6.73351E-06     -561.715E-09        561.537E-09        561.141E-09  
                2.75E-03        -182.735E-12        -49.4487E-09         7.25128E-06     -604.901E-09        604.695E-09        604.236E-09  
                2.85E-03        -210.74E-12         -57.0215E-09         7.78824E-06     -649.686E-09        649.448E-09        648.918E-09  
                2.95E-03        -241.845E-12        -65.4315E-09         8.34437E-06     -696.069E-09        695.796E-09        695.188E-09  
                3.E-03          -258.622E-12        -69.9669E-09         8.62962E-06     -719.86E-09         719.568E-09        718.918E-09  
                3.1E-03         -294.792E-12        -79.7443E-09         9.21452E-06     -768.64E-09         768.308E-09        767.567E-09  
                3.2E-03         -334.628E-12        -90.5106E-09         9.81859E-06     -819.019E-09        818.641E-09        817.8E-09    
                3.3E-03         -378.367E-12       -102.33E-09          10.4418E-06      -870.995E-09        870.568E-09        869.617E-09  
                3.4E-03         -426.257E-12       -115.269E-09         11.0843E-06      -924.569E-09        924.088E-09        923.016E-09  
                3.5E-03         -478.55E-12        -129.395E-09         11.7459E-06      -979.741E-09        979.201E-09        977.997E-09  
                3.6E-03         -535.508E-12       -144.779E-09         12.4266E-06        -1.03651E-06        1.03591E-06        1.03456E-06
                3.7E-03         -597.4E-12         -161.492E-09         13.1266E-06        -1.09488E-06        1.0942E-06         1.0927E-06 
                3.75E-03        -630.273E-12       -170.367E-09         13.4838E-06        -1.12466E-06        1.12395E-06        1.12236E-06
                3.85E-03        -700.084E-12       -189.214E-09         14.2125E-06        -1.18542E-06        1.18463E-06        1.18287E-06
                3.95E-03        -775.532E-12       -209.578E-09         14.9604E-06        -1.24778E-06        1.2469E-06         1.24495E-06
                4.05E-03        -856.911E-12       -231.538E-09         15.7274E-06        -1.31174E-06        1.31077E-06        1.30861E-06
                4.15E-03        -944.522E-12       -255.175E-09         16.5137E-06        -1.37729E-06        1.37622E-06        1.37384E-06
                4.25E-03          -1.03867E-09     -280.572E-09         17.3191E-06        -1.44444E-06        1.44326E-06        1.44065E-06
                4.35E-03          -1.13969E-09     -307.813E-09         18.1437E-06        -1.51318E-06        1.51189E-06        1.50903E-06
                4.45E-03          -1.24788E-09     -336.984E-09         18.9875E-06        -1.58353E-06        1.58211E-06        1.57897E-06
                4.5E-03           -1.30476E-09     -352.318E-09         19.4166E-06        -1.6193E-06         1.61782E-06        1.61453E-06
                4.6E-03           -1.42434E-09     -384.549E-09         20.2891E-06        -1.69203E-06        1.69042E-06        1.68683E-06
                4.7E-03           -1.55194E-09     -418.934E-09         21.1808E-06        -1.76636E-06        1.7646E-06         1.7607E-06 
                4.8E-03           -1.68792E-09     -455.566E-09         22.0917E-06        -1.84229E-06        1.84038E-06        1.83613E-06
